term beta HR CI wald.test HR.pvalue
1 stageii 1.01587244451488 2.76177183930008 0.635410098470738-12.0038754667388 1.3550643287139 0.175397062485938
2 stageiii 1.66435154582237 5.28224684391402 1.23629113231786-22.5692241824361 2.24623947305361 0.0246886731388811
3 stageiv 2.79134667145708 16.3029597560871 3.85338754211852-68.9747641272723 3.79295728808667 0.000148863769451705
319 DICER1.AS1 0.41 1.5  (1.04-2.19) 4.66 0.0308
320 LINC00607 -0.29 0.75  (0.279-2.02) 0.32 0.569
321 GSN.AS1 -0.52 0.6  (0.149-2.39) 0.53 0.465
322 ASH1L.AS1 0.082 1.1  (0.849-1.39) 0.43 0.514
323 TTC28.AS1 0.36 1.4  (0.803-2.54) 1.47 0.225
324 ASMTL.AS1 0.053 1.1  (0.977-1.14) 1.86 0.173
325 ELFN1.AS1 0.023 1  (1-1.05) 4.71 0.03
326 COX10.AS1 0.36 1.4  (0.776-2.66) 1.34 0.248
327 AP001189.4 0.18 1.2  (0.83-1.73) 0.93 0.334
328 TRHDE.AS1 6.3 550  (9.99-30700) 9.5 0.00205
329 LINC01134 0.071 1.1  (0.631-1.82) 0.07 0.795
330 LINC00896 0.38 1.5  (1.11-1.92) 7.17 0.0074
331 PITPNA.AS1 0.066 1.1  (0.977-1.17) 2.12 0.145
332 DNAJC9.AS1 -0.25 0.78  (0.0174-35.1) 0.02 0.899
333 INTS6.AS1 -0.0072 0.99  (0.449-2.2) 0 0.986
334 TCEB3.AS1 -0.034 0.97  (0.55-1.7) 0.01 0.905
335 CBR3.AS1 0.18 1.2  (0.59-2.44) 0.25 0.614
336 AC024560.2 1.2 3.4  (1.18-9.82) 5.12 0.0237
337 BMS1P20 0.3 1.4  (0.806-2.27) 1.3 0.254
338 NIFK.AS1 0.47 1.6  (1.1-2.3) 6.16 0.0131
339 RP11.1008C21.2 0.027 1  (0.272-3.87) 0 0.969
340 ZEB1.AS1 0.52 1.7  (1.23-2.3) 10.7 0.00105
341 PRMT5.AS1 -0.6 0.55  (0.055-5.48) 0.26 0.609
342 HAND2.AS1 -0.017 0.98  (0.335-2.88) 0 0.976
343 ZNF503.AS2 0.36 1.4  (0.863-2.37) 1.93 0.165
344 NR2F1.AS1 0.12 1.1  (0.591-2.15) 0.13 0.715
345 TTN.AS1 -0.19 0.83  (0.156-4.42) 0.05 0.826
346 TUSC8 0.072 1.1  (0.995-1.16) 3.38 0.066
347 HOXD.AS2 0.29 1.3  (0.958-1.88) 2.93 0.0869
348 PITRM1.AS1 0.089 1.1  (0.386-3.1) 0.03 0.868
349 FOXD2.AS1 0.023 1  (0.962-1.09) 0.52 0.473
350 CECR7 0.17 1.2  (0.854-1.64) 1.03 0.309
351 LINC00959 0.093 1.1  (0.382-3.16) 0.03 0.863
352 DGCR5 -0.27 0.77  (0.279-2.11) 0.26 0.607
353 LINC00857 0.0098 1  (0.796-1.28) 0.01 0.936
